ItemCoreCode;Barcode;Dimensions1Alias;Dimensions2Alias;Multiplier
Y9843;XXXY9843XXX;-;-;1,0000
Y9843;6975069247090;-;-;1,0000
Y9842;6975069247083;-;-;1,0000
Y9842;XXXY9842XXX;-;-;1,0000
Y9841;XXXY9841XXX;-;-;1,0000
Y9841;6975069247076;-;-;1,0000
Y9840;6975069247069;-;-;1,0000
Y9840;XXXY9840XXX;-;-;1,0000
Y9839;XXXY9839XXX;-;-;1,0000
Y9839;6975069247052;-;-;1,0000
Y9838;XXXY9838XXX;-;-;1,0000
Y9838;6975069247045;-;-;1,0000
Y9837;XXXY9837XXX;-;-;1,0000
Y9837;6975069247038;-;-;1,0000
Y9836;6975069247021;-;-;1,0000
Y9836;XXXY9836XXX;-;-;1,0000
Y9717;XXXY9717XXX;-;-;1,0000
Y9525;XXXY9525XXX;-;-;1,0000
Y9524;XXXY9524XXX;-;-;1,0000
Y9523;XXXY9523XXX;-;-;1,0000
Y9523;6974491924265;-;-;1,0000
Y9457;6975364630139;-;-;1,0000
Y9457;16975364630139;-;-;10,0000
Y9457;XXXY9457XXX;-;-;1,0000
Y9456;6975364630191;-;-;1,0000
Y9456;16975364630191;-;-;10,0000
Y9456;XXXY9456XXX;-;-;1,0000
Y9455;6975364630115;-;-;1,0000
Y9455;XXXY9455XXX;-;-;1,0000
Y9455;16975364630115;-;-;10,0000
Y9454;6975364630122;-;-;1,0000
Y9454;16975364630122;-;-;10,0000
Y9454;XXXY9454XXX;-;-;1,0000
Y9453;6975364630146;-;-;1,0000
Y9453;16975364630146;-;-;10,0000
Y9453;XXXY9453XXX;-;-;1,0000
Y9452;6975364630153;-;-;1,0000
Y9452;16975364630153;-;-;10,0000
Y9452;XXXY9452XXX;-;-;1,0000
Y9451;6975364630177;-;-;1,0000
Y9451;16975364630177;-;-;10,0000
Y9451;XXXY9451XXX;-;-;1,0000
Y9449;6975364630184;-;-;1,0000
Y9449;16975364630184;-;-;10,0000
Y9449;XXXY9449XXX;-;-;1,0000
Y9448;6975364630160;-;-;1,0000
Y9448;16975364630160;-;-;10,0000
Y9448;XXXY9448XXX;-;-;1,0000
Y8950;XXXY8950XXX;-;-;1,0000
Y8949;6974491922209;-;-;1,0000
Y8949;XXXY8949XXX;-;-;1,0000
Y8948;XXXY8948XXX;-;-;1,0000
Y8947;XXXY8947XXX;-;-;1,0000
Y8508;6972890395266;-;-;1,0000
Y8507;6972890395297;-;-;1,0000
Y8506;6972890395280;-;-;1,0000
Y8505;6972890395259;-;-;1,0000
Y8504;6972890395310;-;-;1,0000
Y8503;6972890395303;-;-;1,0000
Y8502;6972890395273;-;-;1,0000
Y0TOQ;XXXY0TOQXXX;-;-;1,0000
Y0TOP;XXXY0TOPXXX;-;-;1,0000
Y0TOO;XXXY0TOOXXX;-;-;1,0000
